#1:iter	2:slack	3:duration	4:alpha	5:eigenfrequency_2_wv_0	6:eigenfrequency_3_wv_0	7:eigenfrequency_4_wv_0	8:eigenfrequency_5_wv_0	9:youngsModulusE1_f_0	10:youngsModulusE1_f_1	11:homTensor_p11_m22_f_0	12:homTensor_p13_f_0	13:homTensor_p23_f_0	14:homTensor_p11_m22_f_1	15:homTensor_p13_f_1	16:homTensor_p23_f_1	17:volume	18:eigenfrequency_2_wv_1	19:eigenfrequency_3_wv_1	20:eigenfrequency_4_wv_1	21:eigenfrequency_5_wv_1	22:eigenfrequency_2_wv_2	23:eigenfrequency_3_wv_2	24:eigenfrequency_4_wv_2	25:eigenfrequency_5_wv_2	26:eigenfrequency_2_wv_3	27:eigenfrequency_3_wv_3	28:eigenfrequency_4_wv_3	29:eigenfrequency_5_wv_3	30:eigenfrequency_2_wv_4	31:eigenfrequency_3_wv_4	32:eigenfrequency_4_wv_4	33:eigenfrequency_5_wv_4	34:eigenfrequency_2_wv_5	35:eigenfrequency_3_wv_5	36:eigenfrequency_4_wv_5	37:eigenfrequency_5_wv_5	38:greyness	39:access_ greyness
31 	535.357 	0 	1928.77 	-4.84327e-08 	1370.21 	2412.28 	2448.34 	1.09819 	0.790972 	-0.0073992 	0.00157282 	-5.40168e-05 	0.0117518 	0.000947205 	0.000257643 	0.5 	726.996 	1185.87 	2455.61 	2648.44 	981.527 	1153.2 	2564.52 	2865.2 	921.848 	1264.56 	2545.58 	2748.47 	1319.4 	1331.09 	2549.86 	2621.39 	829.312 	1094.08 	2479.96 	2791.14 	0.148512 	0.292308
32 	536.23 	0 	1947.59 	4.99714e-05 	1397.65 	2431.24 	2521.92 	1.12324 	0.790466 	0.00146856 	-9.59034e-05 	0.000295012 	-0.00566656 	0.000785006 	9.30961e-05 	0.5 	736.312 	1200.66 	2468.62 	2682.93 	987.572 	1165.92 	2567.72 	2773.5 	927.866 	1280.5 	2579.33 	2637.92 	1340.05 	1347.78 	2483.16 	2618.3 	844.857 	1100.52 	2557.2 	2713.22 	0.132149 	0.288285
33 	541.476 	0 	1965.55 	4.94736e-05 	1413.23 	2493.94 	2534.03 	1.13597 	0.794734 	-0.00159705 	-0.000953662 	8.75085e-06 	-0.00458225 	-0.00079946 	-0.000136606 	0.5 	739.525 	1216.5 	2499.57 	2728.23 	991.297 	1182.23 	2585.83 	2807.25 	931.007 	1289.57 	2600.38 	2685.05 	1345.4 	1353.42 	2506.02 	2667.71 	848.98 	1114.08 	2572.43 	2772.37 	0.134846 	0.286323
34 	568.246 	0 	1989.71 	-3.51525e-08 	1410.46 	2501.06 	2536.12 	1.10964 	0.796264 	-0.00559521 	0.00137706 	0.00129216 	-0.000415506 	8.41108e-05 	0.000251059 	0.5 	728.901 	1217.35 	2530.31 	2759.75 	993.067 	1166.02 	2634.78 	2835.98 	922.789 	1273.91 	2625.36 	2723 	1330.75 	1334.11 	2549.86 	2674.51 	840.332 	1111.16 	2564.96 	2817.12 	0.132616 	0.29025
35 	558.47 	0 	1980.89 	-2.86886e-07 	1414.22 	2519.79 	2532.77 	1.12158 	0.796601 	-0.00272083 	0.000139542 	0.000524235 	-0.0018195 	-0.000263001 	5.22097e-05 	0.5 	734.552 	1219.5 	2527.33 	2769.99 	994.091 	1174.52 	2627.65 	2828.37 	927.613 	1282.52 	2629.81 	2708.58 	1339.19 	1344.72 	2536.32 	2678.88 	845.334 	1114.46 	2579.21 	2812.65 	0.137232 	0.290682
36 	567.427 	0 	1981.97 	-6.23694e-09 	1411 	2523.99 	2547.14 	1.13348 	0.797308 	-0.0131467 	-0.000357973 	-0.000398764 	-0.00246645 	-4.16829e-05 	-7.14603e-05 	0.5 	732.333 	1216.03 	2534.04 	2792 	992.862 	1169.25 	2625.19 	2853.18 	928.401 	1275.65 	2625.38 	2732.62 	1333.06 	1343.41 	2549.84 	2685.75 	843.034 	1111.17 	2593.01 	2815.99 	0.126126 	0.281133
37 	567.878 	1 	1975.39 	4.65678e-05 	1404.4 	2532.24 	2538.32 	1.13626 	0.799962 	0.00405785 	8.57666e-05 	1.90764e-05 	0.000929846 	2.58653e-05 	1.00209e-05 	0.5 	734.261 	1211.08 	2534.48 	2788.2 	987.602 	1173.64 	2630.12 	2834.15 	925.618 	1278.99 	2626.58 	2714.43 	1334.11 	1339.75 	2538.43 	2681.32 	842.713 	1111.05 	2583.71 	2799.64 	0.127839 	0.281996
38 	571.912 	0 	1975.3 	7.09527e-05 	1402.12 	2538.14 	2548.44 	1.1513 	0.799698 	0.00133521 	-0.000268494 	-8.36809e-05 	0.000223287 	-1.41914e-05 	1.64384e-05 	0.5 	734.268 	1210.82 	2543.46 	2795.7 	987.976 	1174.85 	2638.21 	2845.25 	925.189 	1278.95 	2645.08 	2721.32 	1333.27 	1339.85 	2546.42 	2701.24 	842.754 	1110.99 	2601.16 	2798.38 	0.121123 	0.276568
39 	574.061 	0 	1977.19 	5.96528e-05 	1400.9 	2542.42 	2554.33 	1.15793 	0.800005 	0.00360766 	-0.000246969 	-0.000103321 	0.000566543 	-6.65478e-06 	4.4159e-05 	0.5 	732.466 	1210.91 	2559.06 	2789.88 	990.205 	1172.23 	2653.36 	2843.26 	921.803 	1277.04 	2655.71 	2725.34 	1327.33 	1335.62 	2549.44 	2717.61 	839.978 	1110.94 	2610.4 	2791.1 	0.111373 	0.272352
40 	574.802 	0 	1977.65 	4.06091e-05 	1402.47 	2547.75 	2555.66 	1.15775 	0.799993 	0.000660533 	-7.1236e-06 	-1.98754e-05 	0.000385033 	6.90874e-09 	-7.69372e-06 	0.5 	732.621 	1210.92 	2557.52 	2799.68 	991.701 	1168.9 	2651.04 	2848.13 	922.986 	1275.45 	2659.2 	2726.84 	1328.12 	1334.95 	2552.93 	2721.4 	840.49 	1111.19 	2614.12 	2797.5 	0.111561 	0.273145
