#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
6	0.000184801	0.00107934	1
7	0.000168029	0.000972927	1
1	0.000283374	1	1
2	0.000255057	0.00157532	1
3	0.000227991	0.00136925	1
4	0.000203816	0.00121147	1
5	0.000182483	0.00107543	1
6	0.000163622	0.000955806	1
1	0.000267322	1	1
2	0.000234762	0.00145464	1
3	0.000207022	0.00123985	1
4	0.000182727	0.00108162	1
5	0.000161564	0.000947399	1
1	0.000252815	1	1
2	0.000214562	0.00132327	1
3	0.000186727	0.00110542	1
4	0.000162838	0.000952184	1
1	0.000241861	1	1
2	0.000196067	0.00118964	1
3	0.000168152	0.000972553	1
1	0.000235245	1	1
2	0.000181174	0.00105838	1
3	0.000153058	0.000848559	1
1	0.000218635	1	1
2	0.00015262	0.000835807	1
1	0.000212328	1	1
2	0.000138884	0.000671292	1
1	0.000208865	1	1
2	0.000121894	0.000485103	1
1	0.000208923	1	1
2	0.000109675	0.000337884	1
1	0.000211359	1	1
2	0.000104602	0.000289952	1
1	0.000212042	1	1
2	0.000105178	0.000316669	1
1	0.000205583	1	1
2	0.000107544	0.000354116	1
1	0.000192682	1	1
2	0.000106131	0.000381519	1
1	0.000177477	1	1
2	0.000103327	0.000394089	1
1	0.000160925	1	1
2	9.89071e-05	0.000386516	1
1	0.000141905	1	1
2	9.23309e-05	0.000360671	1
1	0.000111505	1	1
2	7.52503e-05	0.000310414	1
1	8.02529e-05	1	1
2	5.60413e-05	0.000251692	1
1	5.33637e-05	1	1
2	3.96924e-05	0.000186037	1
1	2.94307e-05	1	1
2	2.43057e-05	0.000116069	1
1	1.37333e-05	1	1
2	1.11527e-05	6.06632e-05	1
1	2.4076e-05	1	1
2	1.15605e-05	5.06027e-05	1
1	4.5535e-05	1	1
2	2.66154e-05	9.32117e-05	1
1	7.21628e-05	1	1
2	4.7911e-05	0.000168024	1
1	9.99077e-05	1	1
2	7.10067e-05	0.000248986	1
1	0.00012767	1	1
2	9.49464e-05	0.000335085	1
1	0.000151159	1	1
2	0.000116236	0.000404786	1
1	0.00016723	1	1
2	0.000132386	0.00044429	1
1	0.000171743	1	1
2	0.000142299	0.000441089	1
1	0.000165653	1	1
2	0.000141246	0.000390346	1
1	0.000155559	1	1
2	0.000135526	0.000300323	1
1	0.000145726	1	1
2	0.000127812	0.000194295	1
1	0.000141068	1	1
2	0.000122165	0.00018049	1
1	0.000146831	1	1
2	0.000123957	0.000335519	1
1	0.000165756	1	1
2	0.00013741	0.000555124	1
1	0.000196991	1	1
2	0.00016316	0.000800726	1
1	0.00023793	1	1
2	0.000199171	0.00106308	1
3	0.000177425	0.000971593	1
1	0.000271432	1	1
2	0.000227737	0.00125013	1
3	0.000203738	0.00114233	1
4	0.00018397	0.00103408	1
5	0.000166596	0.000934262	1
1	0.000278559	1	1
2	0.000234108	0.00128426	1
3	0.000210433	0.00117396	1
4	0.000190907	0.00106279	1
5	0.000173686	0.000960292	1
1	0.0003036	1	1
2	0.000257542	0.0014076	1
3	0.000232512	0.00128683	1
4	0.000211704	0.00116531	1
5	0.000193289	0.00105346	1
6	0.000176766	0.0009524	1
1	0.000323563	1	1
2	0.000276707	0.00150614	1
3	0.000250877	0.00137828	1
4	0.00022928	0.00124963	1
5	0.000210112	0.00113126	1
6	0.000192871	0.00102426	1
7	0.000177282	0.000927853	1
1	0.000342675	1	1
2	0.000295567	0.00160522	1
