origElemNum,globCoord-x,globCoord-y,fluidMechStrainRate-real-xx,fluidMechStrainRate-real-yy,fluidMechStrainRate-real-xy,fluidMechStrainRate-imag-xx,fluidMechStrainRate-imag-yy,fluidMechStrainRate-imag-xy,locCoord-xi,locCoord-eta
28,0.00528,-3.42422e-19,-1.22468e-13,-0.0320648,7.8714,-9.7172e-13,-0.167701,4.77205,1,-0.329553
28,0.00529,-3.43186e-19,-1.21455e-13,-0.0322535,7.93247,-9.76056e-13,-0.166826,4.8527,1,-0.339012
28,0.0053,-3.43951e-19,-1.20437e-13,-0.0324386,7.99345,-9.80369e-13,-0.165871,4.93322,1,-0.348471
28,0.00531,-2.2981e-19,-1.19603e-13,-0.0326202,8.05434,-9.84808e-13,-0.164837,5.0136,1,-0.35793
28,0.00532,-2.3032e-19,-1.18587e-13,-0.0327984,8.11515,-9.89131e-13,-0.163724,5.09386,1,-0.367388
28,0.00533,-2.3083e-19,-1.17576e-13,-0.032973,8.17587,-9.93466e-13,-0.162534,5.17399,1,-0.376847
28,0.00534,-3.4701e-19,-1.16381e-13,-0.0331443,8.2365,-9.97673e-13,-0.161266,5.25398,1,-0.386306
28,0.00535,-2.31849e-19,-1.15548e-13,-0.0333121,8.29705,-1.00212e-12,-0.15992,5.33385,1,-0.395765
28,0.00536,-2.32359e-19,-1.14537e-13,-0.0334766,8.35752,-1.00645e-12,-0.158499,5.4136,1,-0.405224
28,0.00537,0,-1.13894e-13,-0.0336377,8.4179,-1.01101e-12,-0.157001,5.49321,1,-0.414683
28,0.00538,-2.33379e-19,-1.12506e-13,-0.0337954,8.4782,-1.0151e-12,-0.155428,5.5727,1,-0.424142
28,0.00539,-3.50833e-19,-1.11299e-13,-0.0339499,8.53841,-1.01929e-12,-0.15378,5.65207,1,-0.433601
28,0.0054,-3.51597e-19,-1.10283e-13,-0.034101,8.59855,-1.02361e-12,-0.152058,5.73132,1,-0.44306
28,0.00541,-2.34908e-19,-1.09464e-13,-0.0342488,8.6586,-1.02808e-12,-0.150261,5.81044,1,-0.452519
28,0.00542,-2.35418e-19,-1.0845e-13,-0.0343934,8.71857,-1.0324e-12,-0.148391,5.88944,1,-0.461978
28,0.00543,-3.53891e-19,-1.07237e-13,-0.0345348,8.77846,-1.03659e-12,-0.146447,5.96832,1,-0.471437
28,0.00544,-3.54656e-19,-1.06222e-13,-0.0346729,8.83827,-1.04091e-12,-0.144432,6.04707,1,-0.480896
28,0.00545,-2.36947e-19,-1.0541e-13,-0.0348079,8.898,-1.04539e-12,-0.142344,6.12571,1,-0.490355
28,0.00546,-2.37457e-19,-1.04393e-13,-0.0349396,8.95765,-1.04971e-12,-0.140184,6.20423,1,-0.499814
28,0.00547,-2.37966e-19,-1.0338e-13,-0.0350682,9.01723,-1.05403e-12,-0.137953,6.28263,1,-0.509273
28,0.00548,-2.38476e-19,-1.02366e-13,-0.0351937,9.07672,-1.05836e-12,-0.135651,6.36092,1,-0.518732
28,0.00549,-2.38986e-19,-1.01352e-13,-0.0353161,9.13614,-1.06268e-12,-0.133279,6.43909,1,-0.528191
28,0.0055,-3.59244e-19,-1.00136e-13,-0.0354354,9.19548,-1.06687e-12,-0.130838,6.51714,1,-0.53765
28,0.00551,-3.60008e-19,-9.91151e-14,-0.0355516,9.25475,-1.07119e-12,-0.128326,6.59508,1,-0.547109
28,0.00552,-2.40515e-19,-9.83083e-14,-0.0356647,9.31394,-1.07568e-12,-0.125746,6.6729,1,-0.556568
28,0.00553,-2.41025e-19,-9.7297e-14,-0.0357748,9.37305,-1.08e-12,-0.123098,6.75061,1,-0.566027
28,0.00554,-3.62302e-19,-9.60722e-14,-0.0358819,9.43209,-1.08416e-12,-0.120381,6.82821,1,-0.575486
28,0.00555,-2.42044e-19,-9.52686e-14,-0.035986,9.49105,-1.08864e-12,-0.117596,6.90569,1,-0.584944
28,0.00556,-2.42554e-19,-9.42518e-14,-0.0360872,9.54994,-1.09296e-12,-0.114745,6.98306,1,-0.594403
28,0.00557,-2.43064e-19,-9.32379e-14,-0.0361853,9.60876,-1.09729e-12,-0.111826,7.06033,1,-0.603862
28,0.00558,-3.65361e-19,-9.2014e-14,-0.0362806,9.6675,-1.10147e-12,-0.108841,7.13748,1,-0.613321
28,0.00559,-2.44083e-19,-9.12125e-14,-0.0363729,9.72617,-1.10596e-12,-0.10579,7.21452,1,-0.62278
